Name,LUMO ren (output),LUMO ren (output)_forecasted,LUMO ren (output)_residual,Gap_PBE,Gap_B3LYP,avgempty(eV-1),inv((LUMO+4)-LUMO),inv((LUMO+3)-LUMO),inv((LUMO+2)-LUMO),inv((LUMO+1)-LUMO)
C68-C1-6322-NZ,-11.4,-15.865706488720008,4.4657064887200075,500.9,1207.0,0.4408386277,0.5791231672,0.7322729844,0.9996480399,1.2737944517
C68-C2-6328-NZ,-25.5,-30.672014322858644,5.172014322858644,916.3,1744.3,0.5011966865,0.8623244827,0.8886207308,1.2932297511,1.3229768991
C68-D2-6330NZ,-62.9,-48.95980896555286,-13.940191034447139,493.3,1271.9,1.026558342,0.6077603586,0.6374904455,1.8401564073,11.651654539
C68-S4-5572-NZ,-88.2,-79.92794844438494,-8.272051555615064,709.0,1411.6,1.4524879567,0.7619551078,0.7619551078,10.4898946544,10.4898946544
C68-S6-6263-NZ,-18.8,-23.045549722832234,4.245549722832234,885.7,1581.2,0.4504477645,0.6039268418,0.9300899775,1.3953508751,0.0
C68-T-6332-NZ,-11.5,-18.074210672110183,6.574210672110183,435.0,1158.5,0.4022956903,0.6363982486,0.6369507275,0.0,0.0
C70-C1-8146-NZ,-15.8,-13.331548694109223,-2.4684513058907775,298.7,968.0,0.5607737484,0.5602263384,0.6453816144,1.2493386938,3.3406842083
C70-C2-8145-NZ,-31.2,-30.454471573234464,-0.7455284267655351,784.3,1538.0,0.5939430381,0.6801039834,0.7190482011,2.0683257342,2.5251417123
C70-experim (D5h),-76.5,-73.06328193079311,-3.43671806920689,1673.6,2622.6,1.0651510773,1.3757052722,2.1064050201,9.8818800107,0.0
C72-C2v-11188-NZ,-32.0,-40.28534673479342,8.285346734793421,677.7,1459.2,0.6654095101,0.9176837687,0.971911757,2.3041475398,2.9691212019
C72-D6d,-56.39,-59.23369119073335,2.8436911907333524,1376.5,2326.8,0.889276186,1.208869203,1.2096329561,4.1695113158,4.1742783066
C74-C1-14232-NZ,-1.5,-20.351773320405876,18.851773320405876,263.3,887.8,1.035032462,1.5569049167,1.7001020264,2.2507315637,3.7537536974
C74-C2-14237-NZ,-25.5,-25.21121861080003,-0.28878138919996843,581.0,1364.1,0.6629429243,0.6929046443,0.76248569,2.0304568487,3.8639876352
C74-Cs-14240-NZ,-16.2,-14.804695953771375,-1.395304046228624,389.5,1133.1,0.4538475897,0.7039774653,1.0687186144,1.282873632,0.0
C76-C1-19131-NZ,-19.4,-19.60104311209209,0.20104311209209058,451.9,1100.9,0.5221051255,0.731613936,0.9029019765,1.1596487265,1.7184063762
C76-C2-19147-NZ,-13.4,-5.7445372509026384,-7.655462749097362,307.9,944.4,0.4978793548,0.7174127859,0.7842709953,1.3495646008,1.3815096835
C76-C3V-19144-NZ,6.6,4.864681915576478,1.7353180844235219,140.9,813.1,0.4253526646,0.6053650149,0.7702028238,0.7926268148,1.0448073401
C76-D2-2,-67.29,-62.45597411534236,-4.834025884657649,1038.9,1855.2,1.0975012795,1.0422172179,1.1179989923,5.075868705,7.5021658753
C76-S4-19095-NZ,-16.1,-15.969873143295416,-0.13012685670458524,519.9,1288.9,0.4381577651,0.5717781909,0.8346624401,1.2736389263,0.0
C78-C2v-3,-55.28,-46.4427334201532,-8.837266579846798,750.8,1545.1,0.9535926577,0.7673828046,1.0630556046,1.854074867,8.900355474
C78-D3-1,-37.8,-38.68899094191984,0.8889909419198432,712.9,1505.2,0.657907527,0.880713055,0.8833415417,2.403156627,2.4157307828
C78-D3h-5,-30.7,-25.842333671408348,-4.857666328591652,589.0,1406.9,0.7295188083,0.6953817959,0.6965427146,3.6081116238,3.6261060154
C80-C2v-3,-3.989,-0.5729519286740121,-3.4160480713259878,260.9,848.8,0.4484263706,0.7250491434,0.7796864697,0.9623211849,1.0698909723
C80-D2-2,-27.4,-23.889667050702798,-3.510332949297201,438.1,1217.6,0.5559026131,0.7520563109,0.9201519901,1.4239573957,1.7967052999
C80-Ih-Chinos-cutoff40,-29.3,-54.01857728146916,24.718577281469162,139.7,781.6,1.4025478758,0.4447021493,0.5442874,21.7194054374,0.0
C80-S4-31226-NZ,-12.9,-6.6087765065865725,-6.291223493413428,417.2,1148.7,0.4649474034,0.5626825632,0.7954246424,1.9551594733,0.0
C82-C2-5,-15.5,-10.788203482311374,-4.711796517688626,444.7,1179.9,0.5071454956,0.6790095354,0.7110205404,1.5024183489,1.6313532762
